Creator_Question_Id,wallet_address,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Solution,Added At,Difficulty Level,Repo Name,Privacy,Primary_Tag,Secondary_Tag_1,Nation_List,Difficulty_Level,Repo_Name,Privacy
,,"In a certain coding system MOTHER is coded as PQWJHT, how will you code SISTER?",VKUVHT,VKVVHU,VKVVHT,VKVVHS,,3,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"In a certain coding system PRICE is coded as SVNIL, how will you code COST?",F SXY,FSWY,FTWZ,FSXZ,,4,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),(1/16),,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",20,22,23,26,,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",22,24,25,26,,3,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?",12,14,27,53,,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?",14,15,21,23,,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 58, 52, 46, 40, 34, ... What number should come next?",26,28,30,32,,2,,,,,,Logical reasoning,,Global,Easy,Reasoning,0
,,"Look at this series: 3, 4, 7, 8, 11, 12, ... What number should come next?",7,10,14,15,,4,,,,,,Logical reasoning,,Global,Medium,Reasoning,0
,,"Look at this series: 8, 22, 8, 28, 8, ... What number should come next?",9,29,32,34,,4,,,,,,Logical reasoning,,Global,Medium,Reasoning,0
